sample_id,plot_id,site,treatment,collection_date,ph,moisture_pct,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,temp_c,rainfall_mm,insect_count,is_irrigated,qc_status,sensor_status,microbial_index,yield_g,notes
S0001,P02,north,control,2024-05-20,5.89,19.34,27.86,9.71,57.44,20.17,10.61,12,true,pass,ok,1.118,226.47,edge plot
S0002,P03,south,drought,2024-10-28,5.73,16.17,15.12,12.25,95.91,12.67,10.2,25,true,pass,ok,1.091,202.0,baseline
S0003,P04,west,lime,2024-03-04,7.07,13.88,32.01,12.66,58.06,26.68,0.0,6,true,pass,ok,1.36,256.1,baseline
S0004,P05,west,organic,2024-08-20,6.36,21.14,38.78,16.79,108.73,28.48,3.08,3,true,pass,ok,0.951,344.68,
S0005,P06,central,npk,2024-12-16,5.99,18.18,42.3,25.15,80.71,15.63,20.13,19,false,pass,ok,0.68,327.12,
S0006,P07,west,npk,2024-05-15,5.77,17.82,35.05,21.92,90.96,20.0,0.0,32,true,pass,ok,1.293,308.2,recheck moisture
S0007,P08,west,lime,2024-02-02,6.36,13.83,19.91,9.95,102.85,28.62,6.74,8,false,pass,ok,1.088,245.43,recheck moisture
S0008,P09,west,control,2024-05-14,6.77,18.4,15.5,14.4,95.63,26.2,4.01,11,true,pass,maintenance,1.695,215.94,late sampling
S0009,P10,east,drought,2024-01-10,5.53,4.0,42.63,11.03,67.52,11.78,5.78,10,false,pass,maintenance,1.073,204.98,
S0010,P11,west,lime,2024-03-25,6.22,21.28,18.97,11.18,101.77,23.52,9.57,18,false,pass,ok,1.074,243.85,recheck moisture
S0011,P12,north,organic,2024-01-11,6.31,24.4,38.6,21.1,105.97,11.49,17.85,3,true,pass,ok,1.53,322.31,late sampling
S0012,P13,central,drought,2024-05-04,6.34,12.03,20.14,13.48,90.94,16.17,0.0,14,false,fail,ok,1.014,199.26,baseline
S0013,P14,south,npk,2024-04-07,6.24,19.82,48.93,14.07,118.53,7.81,12.21,0,true,pass,ok,1.31,339.92,recheck moisture
S0014,P15,south,drought,2024-09-05,5.98,17.4,12.03,10.13,81.02,15.37,17.42,5,true,pass,ok,1.277,162.23,edge plot
S0015,P16,south,npk,2024-05-31,5.86,24.85,49.69,25.22,115.84,7.2,0.0,14,true,pass,ok,1.256,343.84,baseline
S0016,P17,south,drought,2024-03-02,6.53,5.64,20.54,11.6,81.84,21.78,3.2,9,true,pass,ok,1.187,188.4,
S0017,P18,east,drought,2024-06-10,6.51,11.57,24.57,6.27,64.02,8.4,1.07,9,true,pass,ok,1.207,209.96,edge plot
S0018,P19,central,organic,2024-11-09,6.78,25.94,23.81,13.49,75.09,28.36,17.79,21,true,warn,ok,1.614,307.16,recheck moisture
S0019,P20,east,npk,2024-12-17,6.36,17.54,54.23,28.41,90.49,8.22,3.72,14,true,pass,ok,1.169,372.01,late sampling
S0020,P21,west,lime,2024-01-05,6.03,24.49,20.85,10.64,83.93,14.86,1.98,9,true,pass,maintenance,1.27,252.38,sensor drift
S0021,P22,south,npk,2024-12-07,5.72,19.76,28.69,17.37,123.91,9.71,18.85,5,false,pass,ok,1.603,315.29,sensor drift
S0022,P23,west,npk,2024-05-16,5.79,16.67,37.51,26.38,114.89,10.79,12.85,8,false,warn,ok,1.065,302.19,sensor drift
S0023,P24,north,organic,2024-06-28,6.37,13.76,46.29,6.78,85.39,8.77,11.7,11,false,pass,ok,1.13,316.19,sensor drift
S0024,P25,west,lime,2024-09-18,6.04,20.36,21.93,14.12,85.3,18.48,11.18,0,false,pass,ok,0.646,265.72,sensor drift
S0025,P26,central,organic,2024-12-05,6.62,23.28,26.36,14.51,112.18,15.66,7.11,16,true,warn,ok,1.783,279.54,sensor drift
S0026,P27,west,lime,2024-01-01,6.26,19.96,38.61,7.24,70.14,16.6,4.77,3,false,warn,ok,1.089,257.62,
S0027,P28,central,organic,2024-02-17,6.58,24.05,21.04,16.42,106.84,6.59,8.22,21,false,pass,ok,1.387,279.13,
S0028,P29,west,drought,2024-07-23,5.69,10.74,24.3,10.04,49.14,8.56,4.67,14,false,pass,ok,1.202,228.31,edge plot
S0029,P30,south,drought,2024-12-07,6.04,7.33,22.47,10.14,60.55,25.56,12.93,6,false,pass,ok,1.376,169.6,recheck moisture
S0030,P31,east,lime,2024-09-05,6.65,17.72,28.17,9.29,93.97,13.67,4.83,10,true,pass,ok,1.435,258.57,late sampling
S0031,P32,west,drought,2024-02-01,5.65,4.0,33.35,4.67,66.01,26.56,8.57,4,true,pass,ok,1.575,158.4,edge plot
S0032,P33,central,lime,2024-11-04,6.98,14.42,25.47,6.05,81.61,22.05,10.87,0,false,warn,error,0.668,233.27,late sampling
S0033,P34,central,control,2024-02-12,6.37,21.3,31.7,13.71,85.46,11.08,3.29,23,true,pass,ok,1.199,270.16,baseline
S0034,P35,central,control,2024-06-28,5.87,28.27,33.4,10.97,81.13,11.93,12.45,2,true,pass,ok,1.465,271.16,sensor drift
S0035,P36,east,npk,2024-11-06,6.33,17.97,41.05,26.36,67.79,8.59,13.12,13,false,warn,ok,1.178,317.83,
S0036,P37,south,control,2024-12-22,6.53,21.59,16.25,18.32,115.64,24.78,4.36,18,true,pass,ok,1.472,214.49,baseline
S0037,P38,west,organic,2024-11-21,6.67,21.49,34.15,18.17,114.55,21.61,0.0,0,false,pass,ok,1.316,292.78,recheck moisture
S0038,P39,north,organic,2024-08-18,5.89,17.97,35.42,15.3,97.99,26.42,9.72,17,false,pass,ok,1.439,283.13,baseline
S0039,P40,central,npk,2024-02-13,5.89,13.23,50.65,22.28,130.43,23.08,6.94,12,true,pass,ok,1.077,314.91,late sampling
S0040,P01,central,organic,2024-08-05,6.8,20.02,30.68,12.72,99.41,11.53,7.06,5,false,warn,ok,1.647,321.51,sensor drift
S0041,P02,central,lime,2024-11-01,6.24,20.39,28.1,10.35,91.21,6.34,3.31,10,false,pass,ok,1.553,281.88,edge plot
S0042,P03,north,control,2024-10-20,5.94,13.93,25.97,12.98,77.05,26.68,9.66,13,true,pass,ok,1.464,268.23,sensor drift
S0043,P04,north,npk,2024-03-01,6.27,12.76,50.42,16.91,88.92,15.13,12.23,8,false,pass,ok,1.79,345.44,baseline
S0044,P05,south,npk,2024-05-15,6.39,19.53,49.12,22.26,110.6,16.81,3.86,8,true,pass,ok,0.835,346.74,sensor drift
S0045,P06,central,npk,2024-08-05,5.74,18.4,49.49,21.78,119.92,7.43,10.14,1,false,warn,ok,0.991,340.4,edge plot
S0046,P07,east,lime,2024-10-03,6.49,19.12,26.1,6.79,86.58,12.01,20.88,23,false,pass,maintenance,1.573,250.88,sensor drift
S0047,P08,central,control,2024-03-30,6.16,12.19,10.49,12.21,101.7,21.23,5.38,12,true,pass,ok,1.34,204.08,
S0048,P09,west,organic,2024-12-05,6.73,26.21,23.68,12.66,99.38,13.76,14.0,10,true,fail,ok,1.251,290.41,recheck moisture
S0049,P10,central,organic,2024-11-14,6.51,18.64,23.42,17.45,116.76,28.26,0.0,16,true,fail,ok,1.51,291.89,late sampling
S0050,P11,north,lime,2024-07-27,6.01,27.93,24.14,8.06,82.16,25.97,0.0,12,true,pass,ok,1.385,262.4,late sampling
S0051,P12,south,drought,2024-04-07,6.51,4.0,24.15,12.11,69.08,24.96,0.0,21,true,pass,ok,1.1,203.84,
S0052,P13,west,npk,2024-08-16,6.25,14.79,53.38,17.75,104.65,13.72,11.49,23,false,pass,ok,1.598,344.41,
S0053,P14,west,drought,2024-12-05,6.35,9.51,21.25,12.03,77.95,29.17,6.64,15,false,pass,ok,1.339,187.84,
